,Date,Close,High,Low,Open,Volume,EMA_9,EMA_21,Signal,Position,CumulativeProfit
83,2024-05-01,17438.25,17793.25,17399.25,17462.5,791170.0,17651.93536378086,17810.335650259833,0.0,0.0,909.75
84,2024-05-02,17649.75,17755.25,17386.25,17487.0,635300.0,17651.498291024687,17795.736954781667,0.0,0.0,909.75
85,2024-05-03,18000.75,18050.25,17719.5,17744.25,556949.0,17721.34863281975,17814.37450434697,0.0,0.0,909.75
86,2024-05-06,18195.5,18201.25,17983.75,18047.5,395489.0,17816.178906255802,17849.022276679065,0.0,0.0,909.75
87,2024-05-07,18199.5,18266.25,18151.0,18189.5,469722.0,17892.84312500464,17880.883887890057,1.0,1.0,909.75
88,2024-05-08,18186.5,18242.25,18072.5,18194.0,453714.0,17951.574500003713,17908.66717080914,1.0,0.0,909.75
89,2024-05-09,18214.5,18240.25,18103.75,18160.75,471196.0,18004.15960000297,17936.470155281037,1.0,0.0,909.75
90,2024-05-10,18255.0,18348.0,18188.5,18226.0,473881.0,18054.327680002378,17965.42741389185,1.0,0.0,909.75
91,2024-05-13,18295.5,18336.25,18228.75,18238.0,411036.0,18102.562144001902,17995.434012628957,1.0,0.0,909.75
92,2024-05-14,18415.0,18433.0,18165.5,18282.0,555369.0,18165.049715201523,18033.576375117234,1.0,0.0,909.75
93,2024-05-15,18691.75,18707.0,18393.0,18409.75,605869.0,18270.38977216122,18093.410341015668,1.0,0.0,909.75
94,2024-05-16,18650.0,18760.75,18633.25,18693.25,548582.0,18346.311817728976,18144.009400923333,1.0,0.0,909.75
95,2024-05-17,18635.25,18686.75,18545.0,18642.0,489227.0,18404.099454183182,18188.667637203027,1.0,0.0,909.75
96,2024-05-20,18763.0,18794.5,18633.0,18633.5,470381.0,18475.87956334655,18240.879670184568,1.0,0.0,909.75
97,2024-05-21,18799.25,18808.75,18678.0,18746.0,426117.0,18540.55365067724,18291.6406092587,1.0,0.0,909.75
98,2024-05-22,18786.75,18891.0,18684.25,18798.25,578439.0,18589.7929205418,18336.650553871543,1.0,0.0,909.75
