Date,Unemployment Rate,Personal Saving Rate,M2,Real Disposable Personal Income,Personal Consumption Expenditures,Real Broad Exchange Rate,10-Year Yield,Federal Funds Rate,Total Construction Spending,Industrial Production Index,CPI,Normalized GDP,Price,Change %,SP500_returns,Consumption_growth,Income_growth,Personal_Saving_Rate,M2_pct_change,IP_growth,Construction_growth,FX_returns,10Y_yield_diff,FFR_diff,CPI_adj,D1_D12_log_CPI
2002-05-01,5.8,6.2,5498.125,10047.9,7288.9,126.63,5.164545455,1.751290323,850935.0,90.1629,190.0,99.05288,1067.1,-0.0091,-0.009141854712315656,-0.003232569555068565,0.00405882352862541,0.11980119981262072,-0.0062779466677269635,0.0041076719744843615,-0.008548035725596037,-0.014114560362447293,-0.046363636000000596,-0.0017096769999997985,0.0042283298097252064,0.0005002815076560196
2002-06-01,5.8,6.2,5533.275,10078.5,7322.5,125.19,4.9265,1.750333333,846777.0,90.9078,190.2,98.99196,989.8,-0.0724,-0.07519706510473334,0.004599156716846409,0.0030407845991575755,0.0,0.00639308855291576,0.008227771828779318,-0.004898367112817326,-0.011436865190946222,-0.23804545499999996,-0.0009569900000001574,0.0026357406431207764,-0.0027184624710843153
2002-07-01,5.8,5.4,5568.56,10053.5,7387.3,123.5,4.653181818,1.729032258,847129.0,90.8761,190.5,98.90814,911.6,-0.079,-0.08230160514625684,0.008810509887952733,-0.0024836094626117244,-0.13815033848081715,0.006376874455001902,-0.00034876576331921427,0.00041560748361213484,-0.01359142720353912,-0.2733181819999997,-0.021301075000000003,0.002631578947368318,-0.0005721840828227798
2002-08-01,5.7,5.4,5619.325,10056.6,7412.6,124.97,4.257272727,1.743225806,839008.0,90.785,191.1,98.80467,916.1,0.0049,0.004924231649633626,0.0034189453502655454,0.0003083027955650408,0.0,0.009116360423520486,-0.0010029665969959467,-0.009632743715805248,0.011832552429660304,-0.39590909100000005,0.014193548000000167,0.004731861198738141,0.001536508383285451
2002-09-01,5.7,5.9,5641.52,10068.3,7391.5,125.56,3.87,1.750666667,832134.0,90.8931,191.3,98.68805,815.3,-0.11,-0.11656938535229777,-0.002850563598963518,0.0011627388278370177,0.08855339734144496,0.003949762649428701,0.0011900169889162981,-0.008226756037533534,0.004710023476060421,-0.38727272700000004,0.007440860999999854,0.004199475065616909,-0.0010941575323881736
2002-10-01,5.7,5.8,5683.6,10097.3,7435.2,126.46,3.940909091,1.75483871,839690.0,90.6289,191.5,98.56985,885.8,0.08650000000000001,0.08293504782023309,0.005894787989570105,0.002876187169412958,-0.017094433359300165,0.007458982685517368,-0.002910943979905767,0.009039290558360946,0.007142320656714496,0.07090909099999987,0.00417204300000007,0.002093144950287895,-0.0005572043497839019
2002-11-01,5.9,5.8,5746.4,10124.3,7463.8,124.86,4.048421053,1.336,844697.0,91.1366,191.9,98.46375,936.3,0.057,0.05544474645574482,0.0038391885534352355,0.0026704134237629518,0.0,0.011049334928566301,0.005586333163559054,0.005945207066899272,-0.012732942996868779,0.10751196200000024,-0.41883870999999995,0.003136434918975306,-0.001641772109709727
2002-12-01,6.0,5.4,5798.7,10148.6,7519.9,123.75,4.032380952,1.238387097,855921.0,90.6374,192.1,98.38266,879.8,-0.0603,-0.062241329030223724,0.0074881720989772305,0.0023972901398092716,-0.0714589639821448,0.009101350410692044,-0.005492548494194338,0.01320009899277963,-0.00892970818479899,-0.01604010100000064,-0.09761290300000014,0.0031331592689294308,-0.0005519590744205161
2003-01-01,5.8,5.4,5799.6,10133.6,7541.3,122.13,4.048571429,1.23516129,863855.0,91.3852,192.4,98.33516,855.7,-0.0274,-0.02777476149061009,0.0028417409504282176,-0.0014791297526670633,0.0,0.00015520720161421586,0.008216608345982479,0.009226848482787986,-0.0131773502658028,0.016190477000000314,-0.0032258069999999694,0.002605523710265789,-3.062177514667752e-05
2003-02-01,5.9,5.3,5810.075,10097.6,7548.6,122.52,3.902631579,1.262142857,859225.0,91.494,192.5,98.32811,841.1,-0.0171,-0.017209288455617866,0.0009675346515845007,-0.003558863339447882,-0.01869213301215278,0.0018061590454512277,0.0011898566139416644,-0.005374110480387273,0.0031882307815775945,-0.14593984999999998,0.026981566999999984,0.0020822488287350893,-0.0015979077936743025
