Date,Normalized GDP
1/2/1947,102.30440000000000
1/3/1947,101.91780000000000
1/4/1947,101.54010000000000
1/5/1947,101.18500000000000
1/6/1947,100.87190000000000
1/7/1947,100.62290000000000
1/8/1947,100.45940000000000
1/9/1947,100.39330000000000
1/10/1947,100.41260000000000
1/11/1947,100.49580000000000
1/12/1947,100.62070000000000
1/1/1948,100.76710000000000
1/2/1948,100.91679999999999
1/3/1948,101.05180000000000
1/4/1948,101.15100000000000
1/5/1948,101.19300000000000
1/6/1948,101.15970000000000
1/7/1948,101.04500000000000
1/8/1948,100.84590000000000
1/9/1948,100.56030000000000
1/10/1948,100.18950000000000
1/11/1948,99.73850000000000
1/12/1948,99.22165000000000
1/1/1949,98.67361000000000
1/2/1949,98.13494000000000
1/3/1949,97.64027000000000
1/4/1949,97.20640000000000
1/5/1949,96.83851000000000
1/6/1949,96.53185999999999
1/7/1949,96.26861000000000
1/8/1949,96.03694000000000
1/9/1949,95.84669000000000
1/10/1949,95.74238000000000
1/11/1949,95.77703000000000
1/12/1949,95.98039000000000
1/1/1950,96.34130999999999
1/2/1950,96.81999999999999
1/3/1950,97.37263000000000
1/4/1950,97.96702999999999
1/5/1950,98.57859000000001
1/6/1950,99.18246000000001
1/7/1950,99.74406999999999
1/8/1950,100.22790000000001
1/9/1950,100.60899999999999
1/10/1950,100.88979999999999
1/11/1950,101.08640000000000
1/12/1950,101.22180000000000
1/1/1951,101.32410000000000
1/2/1951,101.41880000000000
1/3/1951,101.52320000000000
1/4/1951,101.64160000000000
1/5/1951,101.76730000000001
1/6/1951,101.88430000000000
1/7/1951,101.96760000000000
1/8/1951,101.99280000000000
1/9/1951,101.94640000000000
1/10/1951,101.84210000000000
1/11/1951,101.70260000000000
1/12/1951,101.54680000000000
1/1/1952,101.37990000000001
1/2/1952,101.20189999999999
1/3/1952,101.01779999999999
1/4/1952,100.84829999999999
1/5/1952,100.72350000000000
1/6/1952,100.67650000000000
1/7/1952,100.73360000000000
1/8/1952,100.91030000000001
1/9/1952,101.19950000000000
1/10/1952,101.56440000000001
1/11/1952,101.94910000000000
1/12/1952,102.29770000000001
1/1/1953,102.57200000000000
1/2/1953,102.74390000000000
1/3/1953,102.79440000000000
1/4/1953,102.71880000000000
1/5/1953,102.51860000000001
1/6/1953,102.20310000000001
1/7/1953,101.78380000000000
1/8/1953,101.28080000000000
1/9/1953,100.72100000000000
1/10/1953,100.14239999999999
1/11/1953,99.58459000000001
1/12/1953,99.07944999999999
1/1/1954,98.64286000000000
1/2/1954,98.28364999999999
1/3/1954,98.00803999999999
1/4/1954,97.81865999999999
1/5/1954,97.71957000000000
1/6/1954,97.71539000000000
1/7/1954,97.80396000000000
1/8/1954,97.98277000000000
1/9/1954,98.24867000000000
1/10/1954,98.59119000000000
1/11/1954,98.99624000000000
1/12/1954,99.44441000000000
1/1/1955,99.90452999999999
1/2/1955,100.34320000000000
1/3/1955,100.73350000000001
1/4/1955,101.06560000000000
1/5/1955,101.33700000000000
1/6/1955,101.54649999999999
1/7/1955,101.69289999999999
1/8/1955,101.77270000000000
1/9/1955,101.78260000000000
1/10/1955,101.72650000000000
1/11/1955,101.61270000000000
1/12/1955,101.45569999999999
1/1/1956,101.28210000000000
1/2/1956,101.11940000000000
1/3/1956,100.98620000000000
1/4/1956,100.88200000000001
1/5/1956,100.80020000000000
1/6/1956,100.73880000000000
1/7/1956,100.71010000000000
1/8/1956,100.72900000000000
1/9/1956,100.80110000000001
1/10/1956,100.90519999999999
1/11/1956,101.00930000000000
1/12/1956,101.08400000000000
1/1/1957,101.11499999999999
1/2/1957,101.09880000000000
1/3/1957,101.04049999999999
1/4/1957,100.95540000000000
1/5/1957,100.85550000000001
1/6/1957,100.73830000000000
1/7/1957,100.57650000000000
1/8/1957,100.33450000000001
1/9/1957,99.98694999999999
1/10/1957,99.52894999999999
1/11/1957,98.98093000000000
1/12/1957,98.38637000000000
1/1/1958,97.81591000000000
1/2/1958,97.34385000000000
1/3/1958,97.02404000000000
1/4/1958,96.88289000000000
1/5/1958,96.91970999999999
1/6/1958,97.11684000000000
1/7/1958,97.43604999999999
1/8/1958,97.83571999999999
1/9/1958,98.27898999999999
1/10/1958,98.73614999999999
1/11/1958,99.18523999999999
1/12/1958,99.61140000000000
1/1/1959,100.00650000000000
1/2/1959,100.36230000000000
1/3/1959,100.66610000000000
1/4/1959,100.89760000000000
1/5/1959,101.03830000000001
1/6/1959,101.08470000000000
1/7/1959,101.05650000000000
1/8/1959,100.98980000000000
1/9/1959,100.92350000000000
1/10/1959,100.88880000000000
1/11/1959,100.90300000000001
1/12/1959,100.96050000000000
1/1/1960,101.02030000000001
1/2/1960,101.03100000000001
1/3/1960,100.95430000000000
1/4/1960,100.79270000000000
1/5/1960,100.56550000000000
1/6/1960,100.29040000000001
1/7/1960,99.97045000000000
1/8/1960,99.60513000000000
1/9/1960,99.20438000000000
1/10/1960,98.80543000000000
1/11/1960,98.45563000000000
1/12/1960,98.19582000000000
1/1/1961,98.04031000000001
1/2/1961,97.98998000000000
1/3/1961,98.03724000000000
1/4/1961,98.16285999999999
1/5/1961,98.34603000000000
1/6/1961,98.56826000000000
1/7/1961,98.81287000000000
1/8/1961,99.06630000000000
1/9/1961,99.31747000000000
1/10/1961,99.55596000000000
1/11/1961,99.77160000000001
1/12/1961,99.95442000000000
1/1/1962,100.09590000000000
1/2/1962,100.18910000000000
1/3/1962,100.23170000000000
1/4/1962,100.23160000000000
1/5/1962,100.19889999999999
1/6/1962,100.13990000000000
